,Balance of Payments
2018-04-09,153.0
2018-04-10,155.0
2018-04-11,156.0
2018-04-12,160.0
2018-04-13,144.0
2018-04-16,166.0
2018-04-17,143.0
2018-04-18,144.0
2018-04-19,148.0
2018-04-20,154.0
2018-04-23,152.0
2018-04-24,149.0
2018-04-25,146.0
2018-04-26,155.0
2018-04-27,158.0
2018-04-30,163.0
2018-05-01,151.0
2018-05-02,161.0
2018-05-03,162.0
2018-05-04,160.0
2018-05-07,173.0
2018-05-08,169.0
2018-05-09,169.0
2018-05-10,173.0
2018-05-11,171.0
2018-05-14,161.0
2018-05-15,160.0
2018-05-16,160.0
2018-05-17,157.0
2018-05-18,153.0
2018-05-21,160.0
2018-05-22,167.0
2018-05-23,167.0
2018-05-24,168.0
2018-05-25,167.0
2018-05-28,
2018-05-29,163.0
2018-05-30,153.0
2018-05-31,155.0
2018-06-01,162.0
2018-06-04,168.0
2018-06-05,168.0
2018-06-06,176.0
2018-06-07,162.0
2018-06-08,165.0
2018-06-11,146.0
2018-06-12,166.0
2018-06-13,163.0
2018-06-14,163.0
2018-06-15,148.0
2018-06-18,135.0
2018-06-19,135.0
2018-06-20,145.0
2018-06-21,157.0
2018-06-22,161.0
2018-06-25,156.0
2018-06-26,158.0
2018-06-27,162.0
2018-06-28,159.0
2018-06-29,152.0
2018-07-02,155.0
2018-07-03,165.0
2018-07-04,
2018-07-05,159.0
2018-07-06,157.0
2018-07-09,159.0
2018-07-10,167.0
2018-07-11,163.0
2018-07-12,167.0
2018-07-13,156.0
2018-07-16,160.0
2018-07-17,157.0
2018-07-18,168.0
2018-07-19,161.0
2018-07-20,162.0
2018-07-23,162.0
2018-07-24,164.0
2018-07-25,164.0
2018-07-26,157.0
2018-07-27,162.0
2018-07-30,161.0
2018-07-31,151.0
2018-08-01,159.0
2018-08-02,161.0
2018-08-03,164.0
2018-08-06,167.0
2018-08-07,160.0
2018-08-08,161.0
2018-08-09,155.0
2018-08-10,166.0
2018-08-13,151.0
2018-08-14,135.0
2018-08-15,141.0
2018-08-16,134.0
2018-08-17,127.0
2018-08-20,126.0
2018-08-21,130.0
2018-08-22,138.0
2018-08-23,135.0
2018-08-24,131.0
2018-08-27,133.0
2018-08-28,137.0
2018-08-29,133.0
2018-08-30,137.0
2018-08-31,146.0
2018-09-03,
2018-09-04,137.0
2018-09-05,147.0
2018-09-06,142.0
2018-09-07,144.0
2018-09-10,139.0
2018-09-11,147.0
2018-09-12,146.0
2018-09-13,140.0
2018-09-14,132.0
2018-09-17,118.0
2018-09-18,125.0
2018-09-19,133.0
2018-09-20,137.0
2018-09-21,138.0
2018-09-24,142.0
2018-09-25,150.0
2018-09-26,144.0
2018-09-27,144.0
2018-09-28,145.0
2018-10-01,131.0
2018-10-02,133.0
2018-10-03,133.0
2018-10-04,132.0
2018-10-05,123.0
2018-10-08,
2018-10-09,127.0
2018-10-10,133.0
2018-10-11,135.0
2018-10-12,129.0
2018-10-15,119.0
2018-10-16,120.0
2018-10-17,125.0
2018-10-18,123.0
2018-10-19,121.0
2018-10-22,127.0
2018-10-23,132.0
2018-10-24,137.0
2018-10-25,135.0
2018-10-26,140.0
2018-10-29,138.0
2018-10-30,137.0
2018-10-31,135.0
2018-11-01,140.0
2018-11-02,154.0
2018-11-05,148.0
2018-11-06,149.0
2018-11-07,150.0
2018-11-08,137.0
2018-11-09,137.0
2018-11-12,
2018-11-13,126.0
2018-11-14,138.0
2018-11-15,131.0
2018-11-16,137.0
2018-11-19,148.0
2018-11-20,140.0
2018-11-21,124.0
2018-11-22,
2018-11-23,129.0
2018-11-26,142.0
2018-11-27,132.0
2018-11-28,132.0
2018-11-29,134.0
2018-11-30,146.0
2018-12-03,149.0
2018-12-04,120.0
2018-12-05,105.0
2018-12-06,140.0
2018-12-07,147.0
2018-12-10,151.0
2018-12-11,152.0
2018-12-12,155.0
2018-12-13,143.0
2018-12-14,122.0
2018-12-17,124.0
2018-12-18,127.0
2018-12-19,141.0
2018-12-20,123.0
2018-12-21,139.0
2018-12-24,127.0
2018-12-25,
2018-12-26,136.0
2018-12-27,154.0
2018-12-28,136.0
2018-12-31,102.0
2019-01-01,
2019-01-02,116.0
2019-01-03,136.0
2019-01-04,143.0
2019-01-07,149.0
2019-01-08,146.0
2019-01-09,144.0
2019-01-10,139.0
2019-01-11,134.0
2019-01-14,135.0
2019-01-15,126.0
2019-01-16,135.0
2019-01-17,129.0
2019-01-18,125.0
2019-01-21,
2019-01-22,121.0
2019-01-23,133.0
2019-01-24,132.0
2019-01-25,137.0
2019-01-28,141.0
2019-01-29,128.0
2019-01-30,130.0
2019-01-31,122.0
2019-02-01,138.0
2019-02-04,153.0
2019-02-05,147.0
2019-02-06,155.0
2019-02-07,147.0
2019-02-08,152.0
2019-02-11,134.0
2019-02-12,132.0
2019-02-13,131.0
2019-02-14,131.0
2019-02-15,125.0
2019-02-18,
2019-02-19,124.0
2019-02-20,128.0
2019-02-21,134.0
2019-02-22,139.0
2019-02-25,142.0
2019-02-26,141.0
2019-02-27,149.0
2019-02-28,138.0
2019-03-01,154.0
2019-03-04,156.0
2019-03-05,152.0
2019-03-06,148.0
2019-03-07,141.0
2019-03-08,142.0
2019-03-11,144.0
2019-03-12,143.0
2019-03-13,144.0
2019-03-14,141.0
2019-03-15,124.0
2019-03-18,121.0
2019-03-19,109.0
2019-03-20,124.0
2019-03-21,115.0
2019-03-22,123.0
2019-03-25,129.0
2019-03-26,124.0
2019-03-27,121.0
2019-03-28,127.0
2019-03-29,123.0
2019-04-01,110.0
2019-04-02,128.0
2019-04-03,128.0
2019-04-04,131.0
2019-04-05,124.0
2019-04-08,126.0
2019-04-09,129.0
2019-04-10,125.0
2019-04-11,123.0
2019-04-12,113.0
2019-04-15,103.0
2019-04-16,101.0
2019-04-17,100.0
2019-04-18,74.0
2019-04-19,72.0
2019-04-22,110.0
2019-04-23,106.0
2019-04-24,112.0
2019-04-25,118.0
2019-04-26,122.0
2019-04-29,119.0
2019-04-30,117.0
2019-05-01,155.0
2019-05-02,170.0
2019-05-03,156.0
