date,value,Volume,Open,High,Low
4/2/2018,48.92,67058020,$51.69 ,$52.04 ,$47.29 
4/3/2018,49.75,39415690,$49.00 ,$49.96 ,$48.41 
4/4/2018,49.99,30274280,$48.10 ,$50.16 ,$48.01 
4/5/2018,50.38,24757310,$50.01 ,$50.72 ,$49.97 
4/6/2018,48.79,28208900,$49.79 ,$50.40 ,$48.50 
4/9/2018,49.55,31363780,$49.16 ,$51.11 ,$49.16 
4/10/2018,51.27,26332790,$51.12 ,$51.49 ,$50.34 
4/11/2018,51.1,17560440,$50.99 ,$51.73 ,$50.82 
4/12/2018,52.72,29750460,$51.49 ,$53.27 ,$51.45 
4/13/2018,51.86,20864040,$53.06 ,$53.21 ,$51.60 
4/16/2018,52.4,18838800,$52.29 ,$52.53 ,$51.79 
4/17/2018,53.54,21189610,$52.91 ,$53.70 ,$52.89 
4/18/2018,53.61,22155870,$53.52 ,$54.36 ,$53.34 
4/19/2018,52.22,25369040,$52.95 ,$52.96 ,$51.61 
4/20/2018,51.53,26851880,$52.17 ,$52.28 ,$50.88 
4/23/2018,51.1,21656930,$51.69 ,$51.89 ,$50.85 
4/24/2018,51.45,42468290,$51.87 ,$53.64 ,$51.14 
4/25/2018,51.38,25592280,$51.86 ,$52.10 ,$50.60 
4/26/2018,53.05,38373340,$52.26 ,$53.27 ,$52.07 
4/27/2018,52.73,69713580,$55.44 ,$55.79 ,$52.23 
4/30/2018,51.62,36384090,$52.56 ,$53.37 ,$51.21 
5/1/2018,53.33,27564850,$51.64 ,$53.42 ,$51.44 
5/2/2018,52.31,25754240,$53.09 ,$53.20 ,$52.15 
5/3/2018,52.28,28477800,$51.89 ,$52.56 ,$51.21 
5/4/2018,52.78,25636750,$51.62 ,$52.84 ,$51.00 
5/7/2018,53.33,20304880,$52.86 ,$53.58 ,$52.83 
5/8/2018,53.63,20657760,$53.30 ,$53.63 ,$52.80 
5/9/2018,54.34,19816890,$53.76 ,$54.37 ,$53.19 
5/10/2018,54.98,18696150,$54.55 ,$55.00 ,$54.10 
5/11/2018,54.67,15396720,$54.62 ,$55.19 ,$54.43 
5/14/2018,54.9,21831130,$54.77 ,$55.24 ,$54.74 
5/15/2018,53.92,21698640,$54.58 ,$54.75 ,$53.56 
5/16/2018,54.64,16093190,$54.17 ,$54.70 ,$53.96 
5/17/2018,54.81,16868500,$54.55 ,$55.44 ,$54.42 
5/18/2018,53.5,23659030,$54.53 ,$54.54 ,$53.47 
5/21/2018,54.32,25157290,$54.36 ,$55.22 ,$53.86 
5/22/2018,54.45,19007430,$54.73 ,$55.05 ,$54.05 
5/23/2018,55.21,20512760,$54.00 ,$55.23 ,$53.84 
5/24/2018,54.75,19472190,$55.18 ,$55.30 ,$54.13 
5/25/2018,55.44,18508060,$54.80 ,$55.50 ,$54.54 
5/29/2018,55.32,24176370,$55.12 ,$55.81 ,$54.81 
5/30/2018,55.68,24556310,$55.89 ,$56.20 ,$55.62 
5/31/2018,55.2,30934950,$55.67 ,$55.86 ,$55.06 
6/1/2018,57.08,31153130,$55.84 ,$57.10 ,$55.80 
6/4/2018,56.83,22460260,$57.01 ,$57.60 ,$56.78 
6/5/2018,56.53,21650300,$56.90 ,$57.12 ,$56.22 
6/6/2018,57.03,22950320,$56.53 ,$57.06 ,$56.08 
6/7/2018,55.88,27571480,$56.92 ,$57.00 ,$55.62 
6/8/2018,55.05,30819250,$55.56 ,$55.70 ,$54.66 
6/11/2018,54.52,25427230,$54.80 ,$55.09 ,$54.26 
6/12/2018,54.82,23140540,$54.87 ,$55.03 ,$54.22 
6/13/2018,55.03,22514600,$54.98 ,$55.70 ,$54.91 
6/14/2018,55.54,23410400,$55.45 ,$55.86 ,$55.18 
6/15/2018,55.11,39173960,$55.17 ,$55.38 ,$54.58 
6/18/2018,53.22,40730070,$54.30 ,$54.30 ,$52.34 
6/19/2018,52.93,31772080,$52.14 ,$52.95 ,$51.88 
6/20/2018,53.46,21400640,$53.19 ,$53.75 ,$52.69 
6/21/2018,52.19,44370420,$54.38 ,$54.53 ,$51.94 
6/22/2018,52.5,34664470,$52.62 ,$53.09 ,$52.30 
