,ticker,title,overall_sentiment_label
0,BLK,Uptober might be over: Bitcoin price data shows investor sentiment at 3-month low,Neutral
1,FOREX:CHF,Uptober might be over: Bitcoin price data shows investor sentiment at 3-month low,Neutral
2,FOREX:EUR,Uptober might be over: Bitcoin price data shows investor sentiment at 3-month low,Neutral
3,FOREX:GBP,Uptober might be over: Bitcoin price data shows investor sentiment at 3-month low,Neutral
4,FOREX:USD,Uptober might be over: Bitcoin price data shows investor sentiment at 3-month low,Neutral
5,CRYPTO:BTC,Uptober might be over: Bitcoin price data shows investor sentiment at 3-month low,Neutral
6,SNEJF,"Halloween Is Here With Sony's October 2023 PlayStation Plus Games, Featuring Gotham Knights, More - Sony Group  ( NYSE:SONY ) ",Somewhat-Bearish
7,CRYPTO:BTC,Ex-Voyager CEO Sued By CFTC and FTC for Misleading Customers,Somewhat-Bearish
8,CRYPTO:FTC,Ex-Voyager CEO Sued By CFTC and FTC for Misleading Customers,Somewhat-Bearish
9,MA,China opens industrial park for digital yuan CBDC development in Shenzhen,Somewhat-Bullish
10,SZIHF,China opens industrial park for digital yuan CBDC development in Shenzhen,Somewhat-Bullish
11,GS,News Exclusive | Goldman Sachs Passed on a Higher Offer for GreenSky,Somewhat-Bullish
12,CZR,Check Out What Whales Are Doing With CZR - Caesars Entertainment  ( NASDAQ:CZR ) ,Neutral
13,MS,Check Out What Whales Are Doing With CZR - Caesars Entertainment  ( NASDAQ:CZR ) ,Neutral
14,MNTS,Momentus Shares Are Rocketing Higher: What's Going On? - Momentus  ( NASDAQ:MNTS ) ,Somewhat-Bullish
15,SNEJF,Sony Unveils Cloud Streaming For PlayStation Plus: What Premium Members Can Expect - Sony Group  ( NYSE:SONY ) ,Neutral
16,SSTK,Sony Unveils Cloud Streaming For PlayStation Plus: What Premium Members Can Expect - Sony Group  ( NYSE:SONY ) ,Neutral
17,VMW,"Why Broadcom And Vmware Stocks Are Moving Today - VMware  ( NYSE:VMW ) , Broadcom  ( NASDAQ:AVGO ) ",Bullish
18,AVGO,"Why Broadcom And Vmware Stocks Are Moving Today - VMware  ( NYSE:VMW ) , Broadcom  ( NASDAQ:AVGO ) ",Bullish
19,DSSMY,"The Frederick Arts Council Awards $50,000 to Local Arts Organizations",Bullish
20,ARM,Birkenstock's stock loses footing in second day on Wall Street,Neutral
21,CART,Birkenstock's stock loses footing in second day on Wall Street,Neutral
22,DNTUF,"Digital Currency DCJPY, Backed By Japanese Yen, To Launch In July 2024",Somewhat-Bullish
23,MSBHF,"Digital Currency DCJPY, Backed By Japanese Yen, To Launch In July 2024",Somewhat-Bullish
24,JPHLF,"Digital Currency DCJPY, Backed By Japanese Yen, To Launch In July 2024",Somewhat-Bullish
25,AOZOY,"Digital Currency DCJPY, Backed By Japanese Yen, To Launch In July 2024",Somewhat-Bullish
26,JPSTF,"Digital Currency DCJPY, Backed By Japanese Yen, To Launch In July 2024",Somewhat-Bullish
27,FOREX:JPY,"Digital Currency DCJPY, Backed By Japanese Yen, To Launch In July 2024",Somewhat-Bullish
