,ticker,title,overall_sentiment_label
6,YUKA,Japan's Saso Grabs First Round Lead At CPKC Women's Open,Somewhat-Bullish
8,GRGSF,Grieg Seafood ASA: Q2 2023 results,Somewhat-Bullish
10,NVO,Ozempic Diet: Foods To Avoid For Minimized Side Effects,Somewhat-Bullish
11,GOOG,India Inc's moonshot - ETCFO,Somewhat-Bullish
55,JWN,Nordstrom  ( JWN )  Q2 2023 Earnings Call Transcript,Somewhat-Bullish
56,NKE,Nordstrom  ( JWN )  Q2 2023 Earnings Call Transcript,Somewhat-Bullish
57,GS,Nordstrom  ( JWN )  Q2 2023 Earnings Call Transcript,Somewhat-Bullish
58,DSSMY,Nordstrom  ( JWN )  Q2 2023 Earnings Call Transcript,Somewhat-Bullish
59,JPM,Nordstrom  ( JWN )  Q2 2023 Earnings Call Transcript,Somewhat-Bullish
90,SCGLF,India economic growth likely picked up pace in April-June: Poll,Somewhat-Bullish
13,GLDAF,"Gene expression tests will improve disease diagnosis, says GlobalData",Somewhat-Bearish
18,ATYM,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
19,NVDA,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
20,BACHY,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
21,ADTTF,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
22,FOREX:JPY,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
23,FOREX:EUR,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
24,FOREX:CNY,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
25,FOREX:USD,"Asian stocks sink, dollar climbs as risk of hawkish Jerome Powell looms",Somewhat-Bearish
26,SSTK,"Russia Breaks Silence On Wagner Group Chief's Reported Death: 'He Made Serious Mistakes In His Life,' Says President",Somewhat-Bearish
38,ATYM,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
39,NVDA,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
40,BACHY,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
41,ADTTF,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
42,FOREX:JPY,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
43,FOREX:EUR,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
44,FOREX:CNY,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
45,FOREX:USD,"Stocks sink, dollar climbs as risk of hawkish Powell looms",Somewhat-Bearish
75,BABA,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
76,NTES,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
77,ZIJMY,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
78,CIHKY,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
79,AAIGF,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
80,CME,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
81,MPNGY,"Stocks falter in Hong Kong on mixed bag of earnings, Fed hawkish tilt",Somewhat-Bearish
82,FOREX:EUR,Oil prices decline amid caution ahead of Jerome Powell's remarks,Somewhat-Bearish
83,FOREX:USD,Oil prices decline amid caution ahead of Jerome Powell's remarks,Somewhat-Bearish
