,symbol,name,reportDate,fiscalDateEnding,estimate,currency
979,CVAC,CureVac N.V.,2023-11-14,2023-09-30,-0.24,EUR
2905,PVMCF,PVMCF,2023-11-14,2023-09-30,0,USD
2913,PYYX,PYYX,2023-11-14,2023-09-30,,USD
2932,QTEK,QTEK,2023-11-14,2023-09-30,-0.05,USD
3498,TLKGY,TLKGY,2023-11-14,2023-09-30,0,ZAR
2363,MOND,Mondee Holdings Inc - Class A,2023-11-14,2023-09-30,-0.11,USD
254,ARNGF,ARNGF,2023-11-14,2023-09-30,-0.002,USD
2933,QTEKQ,QTEKQ,2023-11-14,2023-09-30,-0.05,USD
252,ARMK,Aramark,2023-11-14,2023-09-30,0.64,USD
1521,GDNSF,GDNSF,2023-11-14,2023-09-30,-0.05,USD
3742,VNRX,VolitionRX Ltd,2023-11-14,2023-09-30,-0.13,USD
1540,GETY,Getty Images Holdings Inc - Class A,2023-11-14,2023-09-30,0.0405,USD
3745,VOCL,VOCL,2023-11-14,2023-09-30,,USD
245,AREN,Arena Group Holdings Inc (The),2023-11-14,2023-09-30,-0.38,USD
244,AREC,American Resources Corporation - Class A,2023-11-14,2023-09-30,-0.14,USD
3746,VOD,Vodafone Group plc,2023-11-14,2023-09-30,0,EUR
242,ARCW,ARCW,2023-11-14,2023-09-30,0,USD
241,ARCT,Arcturus Therapeutics Holdings Inc,2023-11-14,2023-09-30,-1.69,USD
2942,RAFI,RAFI,2023-11-14,2023-09-30,,USD
2935,QUIK,Quicklogic Corp,2023-11-14,2023-09-30,0.13,USD
1090,DLTNF,DLTNF,2023-11-14,2023-09-30,,CAD
493,BKKT,Bakkt Holdings Inc - Class A,2023-11-14,2023-09-30,-0.17,USD
2374,MPV,Barings Participation Investors,2023-11-14,2023-09-30,,USD
285,ASXC,Asensus Surgical Inc,2023-11-14,2023-09-30,-0.07,USD
2881,PSFE,Paysafe Ltd - Class A,2023-11-14,2023-09-30,0.05,USD
283,ASTS,AST SpaceMobile Inc - Class A,2023-11-14,2023-09-30,-0.21,USD
1479,FUNFF,FUNFF,2023-11-14,2023-09-30,,CAD
1484,FWBI,First Wave BioPharma Inc,2023-11-14,2023-09-30,-0.61,USD
1096,DNMR,Danimer Scientific Inc - Class A,2023-11-14,2023-09-30,-0.34,USD
