,items,sentiment_score_definition,relevance_score_definition,feed
0,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Disney  ( DIS )  to Post Q3 Earnings: Disney+ User Growth in Focus', 'url': 'https://www.zacks.com/stock/news/2133838/disney-dis-to-post-q3-earnings-disney-user-growth-in-focus', 'time_published': '20230808T180200', 'authors': ['Zacks Investment Research'], 'summary': ""Disney's (DIS) third-quarter fiscal 2023 results are likely to reflect declining Disney+ subscriber growth, as well as the weak contribution from theatrical releases."", 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/75/499.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.143933, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'NFLX', 'relevance_score': '0.269776', 'ticker_sentiment_score': '0.294298', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SNEJF', 'relevance_score': '0.091509', 'ticker_sentiment_score': '0.013349', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PARA', 'relevance_score': '0.091509', 'ticker_sentiment_score': '0.013349', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WBD', 'relevance_score': '0.181819', 'ticker_sentiment_score': '0.070441', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CCZ', 'relevance_score': '0.091509', 'ticker_sentiment_score': '0.013349', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.269776', 'ticker_sentiment_score': '0.294298', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.354319', 'ticker_sentiment_score': '-0.19153', 'ticker_sentiment_label': 'Somewhat-Bearish'}]}"
1,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'DIS: Is August the Time to Buy or Sell Walt Disney  ( DIS ) ?', 'url': 'https://stocknews.com/news/dis-nwsa-vivhy-sony-is-august-the-time-to-buy-or-sell-walt-disney/', 'time_published': '20230808T165142', 'authors': ['StockNews.com Staff'], 'summary': 'The Walt Disney Company ( DIS ) , a massive global conglomerate, wields significant influence with its universally adored resorts, films, streaming platforms, video games, and diverse merchandise.', 'banner_image': 'https://stocknews.com/wp-content/uploads/2017/05/disneyland.jpg', 'source': 'Stocknews.com', 'category_within_source': 'n/a', 'source_domain': 'stocknews.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.858979'}], 'overall_sentiment_score': 0.10538, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'SNEJF', 'relevance_score': '0.042915', 'ticker_sentiment_score': '0.148345', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VIVEF', 'relevance_score': '0.021465', 'ticker_sentiment_score': '0.136261', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.639702', 'ticker_sentiment_score': '0.14598', 'ticker_sentiment_label': 'Neutral'}]}"
2,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Stock Market News for Aug 8, 2023', 'url': 'https://www.zacks.com/stock/news/2133618/stock-market-news-for-aug-8-2023', 'time_published': '20230808T133700', 'authors': ['Zacks Equity Research'], 'summary': 'Wall Street rebounded on Monday, regaining some of the ground lost last week, as investors digested earnings reports from a batch of companies and waited for key inflation readings scheduled for release later this week.', 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/23/2376.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.928139'}], 'overall_sentiment_score': 0.124758, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ELAN', 'relevance_score': '0.145145', 'ticker_sentiment_score': '0.145463', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSN', 'relevance_score': '0.216215', 'ticker_sentiment_score': '0.126862', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.145145', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
3,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'MGM Resorts and DISH Network have been highlighted as Zacks Bull and Bear of the Day', 'url': 'https://www.zacks.com/stock/news/2133535/mgm-resorts-and-dish-network-have-been-highlighted-as-zacks-bull-and-bear-of-the-day', 'time_published': '20230808T123200', 'authors': ['Zacks Equity Research'], 'summary': 'Chicago, IL - August 8, 2023 - Zacks Equity Research shares MGM Resorts International ( MGM Quick QuoteMGM - ) as the Bull of the Day and DISH Network ( DISH Quick QuoteDISH - ) as the Bear of the Day.', 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/8b/450.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.929393'}, {'topic': 'Earnings', 'relevance_score': '0.997845'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.222777, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'NFLX', 'relevance_score': '0.037681', 'ticker_sentiment_score': '0.179576', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WBD', 'relevance_score': '0.037681', 'ticker_sentiment_score': '0.179576', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DISH', 'relevance_score': '0.223179', 'ticker_sentiment_score': '-0.041366', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MGM', 'relevance_score': '0.223179', 'ticker_sentiment_score': '0.238059', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MCHVF', 'relevance_score': '0.037681', 'ticker_sentiment_score': '0.157129', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.186738', 'ticker_sentiment_score': '0.038044', 'ticker_sentiment_label': 'Neutral'}]}"
4,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': '3 key questions Disney analysts say CEO Bob Iger faces ahead of earnings this week, as concerns mount about succession and streaming profits', 'url': 'https://www.businessinsider.com/key-questions-facing-disney-ceo-bob-iger-ahead-q2-earnings-2023-8', 'time_published': '20230807T165000', 'authors': ['Lucia Moses', 'Reed Alexander'], 'summary': '3 Key Questions Facing Disney CEO Bob Iger Ahead of Q2 2023 Earnings - Business Insider ...', 'banner_image': None, 'source': 'Business Insider', 'category_within_source': 'GoogleRSS', 'source_domain': 'www.businessinsider.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.074049, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'EVR', 'relevance_score': '0.068306', 'ticker_sentiment_score': '-0.142104', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BX', 'relevance_score': '0.022794', 'ticker_sentiment_score': '0.072169', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.022794', 'ticker_sentiment_score': '-0.008084', 'ticker_sentiment_label': 'Neutral'}]}"
5,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Disney  ( DIS )  to Report Q3 Earnings: What's in the Cards?"", 'url': 'https://www.zacks.com/stock/news/2133240/disney-dis-to-report-q3-earnings-whats-in-the-cards', 'time_published': '20230807T164700', 'authors': ['Zacks Equity Research'], 'summary': ""Disney's (DIS) fiscal Q3 results are expected to reflect declining Disney+ subscriber growth rate amid stiff competition."", 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/f6/446.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.99237'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.197726, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'NFLX', 'relevance_score': '0.087824', 'ticker_sentiment_score': '0.194345', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WBD', 'relevance_score': '0.087824', 'ticker_sentiment_score': '0.194345', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SCPL', 'relevance_score': '0.340915', 'ticker_sentiment_score': '0.261635', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.340915', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
6,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Markets Await CPI, PPI Reports', 'url': 'https://www.zacks.com/stock/news/2133151/markets-await-cpi-ppi-reports', 'time_published': '20230807T143200', 'authors': ['Zacks Equity Research'], 'summary': 'Market indices look to bounce back this week after the S&P 500 and the Nasdaq both posted their worst performance weeks since March: -2.3% and -2.9%, respectively. The Dow also dropped, but by a less-severe -1.1%.', 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/78/424.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.890401'}], 'overall_sentiment_score': 0.10201, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'TSN', 'relevance_score': '0.167904', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.249531', 'ticker_sentiment_score': '-0.013458', 'ticker_sentiment_label': 'Neutral'}]}"
7,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Markets Look to Bounce Back; Tyson Misses Badly', 'url': 'https://www.zacks.com/stock/news/2133138/markets-look-to-bounce-back-tyson-misses-badly', 'time_published': '20230807T141300', 'authors': ['Mark Vickery'], 'summary': ""Tyson's fiscal Q3 earnings came in at 15 cents per share, for a year-over-year drop of -92%."", 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/23/2376.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.928139'}], 'overall_sentiment_score': 0.097204, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'TSN', 'relevance_score': '0.162255', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.241284', 'ticker_sentiment_score': '-0.013099', 'ticker_sentiment_label': 'Neutral'}]}"
8,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'This Week: Disney reports earnings, inflation updates', 'url': 'https://apnews.com/article/this-week-business-3d239f8340cd0a5f1bb6f98aa2b012e8', 'time_published': '20230807T050000', 'authors': ['The Associated Press'], 'summary': ""A look at some of the key business events and economic indicators upcoming this week: The Walt Disney Co. reports its fiscal third-quarter financial results on Wednesday. Wall Street expects the company's profits to slip to 98 cents per share from $1.09 per share a year ago, though analysts ..."", 'banner_image': 'https://dims.apnews.com/dims4/default/1d9e3cd/2147483647/strip/true/crop/3719x2477+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F7a%2F57%2F726839195045d2349ad65e079194%2F2d18646520a1465b91559d584e1341a9', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}], 'overall_sentiment_score': 0.087927, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'DIS', 'relevance_score': '0.165031', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
9,50,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Polling suggests that defeating 'woke' policies in schools and government is not a priority for most Republican voters"", 'url': 'https://africa.businessinsider.com/politics/polling-suggests-that-defeating-woke-policies-in-schools-and-government-is-not-a/sbkcz4t', 'time_published': '20230806T175328', 'authors': ['Katie Balevic'], 'summary': 'The problem? Voters don\'t really care as much about tackling ""woke"" issues as Republican candidates may think, new polling suggests.', 'banner_image': 'https://ocdn.eu/pulscms-transforms/1/fzgktkuTURBXy80NzU3NWUxNi04NmIwLTQxMTQtOGEzMi0wNmVkZTM5ZDE2MTAuanBlZ5GTBc0DFs0Brg', 'source': 'Business Insider', 'category_within_source': 'GoogleRSS', 'source_domain': 'africa.businessinsider.com', 'topics': [{'topic': 'Manufacturing', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.052428, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'NYT', 'relevance_score': '0.109956', 'ticker_sentiment_score': '0.142577', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.109956', 'ticker_sentiment_score': '0.015042', 'ticker_sentiment_label': 'Neutral'}]}"
